,year,round,draft_pick,draft_team,player,player_url,position,age,college,college_stats_url,pic_url,bday,hs,height,weight,height_decimal,birthplace_town,birthplace_state,home_state,conference,bmi,Career_year,Career_school,Career_conference,Career_class,Career_position,Career_games,Career_completions,Career_attempts,Career_comp_pct,Career_passing_yds,Career_yds_per_att,Career_adj_yds_per_att,Career_passing_td,Career_interceptions,Career_pass_eff_rate,Best_year,Best_school,Best_conference,Best_class,Best_position,Best_games,Best_completions,Best_attempts,Best_comp_pct,Best_passing_yds,Best_yds_per_att,Best_adj_yds_per_att,Best_passing_td,Best_interceptions,Best_pass_eff_rate,Career_rush_attempts,Career_rush_yds,Career_rush_avg,Career_rush_td,Career_receptions,Career_rec_yds,Career_rec_avg,Career_rec_td,Career_r_total_plays,Career_r+total_yds,Career_r_total_avg,Career_r_total_td
10,2021,1,3,SFO,Trey Lance,https://www.pro-football-reference.com/players/L/LancTr00.htm,QB,21,North Dakota St.,http://www.sports-reference.com/cfb/players/trey-lance-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/LancTr00_2022.jpg,5/9/2000,"Marshall,MN",6'4,224,6.33,Marshall,"MN, ",MN,FCS,27.3,Career,North Dakota State,MVC,JR,QB,19,208,318,65.4,2947,9.3,11,30,1,173.8,2019,North Dakota State,MVC,SO,QB,16,192,287,66.9,2786,9.7,11.7,28,0,180.6,192,1325,6.9,18,,,,,192,1325,6.9,18
11,2021,1,11,CHI,Justin Fields,https://www.pro-football-reference.com/players/F/FielJu00.htm,QB,22,Ohio St.,http://www.sports-reference.com/cfb/players/justin-fields-2.html,https://www.pro-football-reference.com/req/20180910/images/headshots/FielJu00_2022.jpg,3/5/1999,"Harrison,GA",6'3,228,6.25,Kennesaw,"GA, ",GA,BIG10,28.5,Career,Overall,Big Ten,JR,QB,34,423,618,68.4,5701,9.2,10.7,67,9,178.8,2020,Ohio State,Big Ten,JR,QB,8,158,225,70.2,2100,9.3,10.1,22,6,175.6,260,1133,4.4,19,1,-10,-10,0,261,1123,4.3,19
12,2021,1,15,NWE,Mac Jones,https://www.pro-football-reference.com/players/J/JoneMa05.htm,QB,23,Alabama,http://www.sports-reference.com/cfb/players/mac-jones-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/JoneMa05_2022.jpg,9/5/1998,"The Bolles School,FL",6'3,217,6.25,Jacksonville,"FL, ",FL,SEC,27.1,Career,Alabama,SEC,JR,QB,30,413,556,74.3,6126,11,12.5,56,7,197.6,2020,Alabama,SEC,JR,QB,13,311,402,77.4,4500,11.2,12.8,41,4,203.1,54,42,0.8,2,2,-9,-4.5,0,56,33,0.6,2
13,2021,2,64,TAM,Kyle Trask,https://www.pro-football-reference.com/players/T/TrasKy00.htm,QB,23,Florida,http://www.sports-reference.com/cfb/players/kyle-trask-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/TrasKy00_2022.jpg,3/6/1998,"Manvel,TX",6'5,236,6.42,Manvel,"TX, ",TX,SEC,28,Career,Florida,SEC,SR,QB,27,552,813,67.9,7386,9.1,10,69,15,168.5,2020,Florida,SEC,SR,QB,12,301,437,68.9,4283,9.8,10.9,43,8,180,132,54,0.4,8,1,4,4,0,133,58,0.4,8
14,2021,3,66,MIN,Kellen Mond,https://www.pro-football-reference.com/players/M/MondKe00.htm,QB,22,Texas A&M,http://www.sports-reference.com/cfb/players/kellen-mond-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/MondKe00_2022.jpg,6/22/1999,"Ronald Reagan,TX,IMG Academy,FL",6'3,212,6.25,San Antonio,"TX, ",TX,SEC,26.5,Career,Texas A&M,SEC,SR,QB,46,801,1358,59,9661,7.1,7.3,71,27,132,2020,Texas A&M,SEC,SR,QB,10,188,297,63.3,2282,7.7,8.5,19,3,146.9,438,1609,3.7,22,0,0,,0,438,1609,3.7,22
15,2021,3,67,HOU,Davis Mills,https://www.pro-football-reference.com/players/M/MillDa02.htm,QB,22,Stanford,http://www.sports-reference.com/cfb/players/davis-mills-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/MillDa02_2022.jpg,10/21/1998,"Greater Atlanta Christian,GA",6'4,225,6.33,Atlanta,"GA, ",GA,PAC12,27.4,Career,Stanford,Pac-12,SR,QB,14,287,438,65.5,3468,7.9,7.9,18,8,141.9,2019,Stanford,Pac-12,JR,QB,8,158,241,65.6,1960,8.1,8.1,11,5,144.8,63,86,1.4,3,1,8,8,1,64,94,1.5,4
16,2021,4,133,NOR,Ian Book,https://www.pro-football-reference.com/players/B/BookIa00.htm,QB,23,Notre Dame,http://www.sports-reference.com/cfb/players/ian-book-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/BookIa00_2021.jpg,3/30/1998,"Oak Ridge,CA",6'0,206,6,El Dorado Hills,"CA, ",CA,Independents,27.9,Career,Notre Dame,ACC,SR,QB,45,728,1141,63.8,8948,7.8,8.3,72,20,147,2020,Notre Dame,ACC,SR,QB,12,228,353,64.6,2830,8,8.5,15,3,144.3,361,1517,4.2,17,0,0,,0,361,1517,4.2,17
17,2021,6,218,IND,Sam Ehlinger,https://www.pro-football-reference.com/players/E/EhliSa00.htm,QB,22,Texas,http://www.sports-reference.com/cfb/players/sam-ehlinger-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/EhliSa00_2022.jpg,9/30/1998,"Westlake,TX",6'3,225,6.25,Austin,"TX, ",TX,BIG12,28.1,Career,Texas,Big 12,SR,QB,46,923,1476,62.5,11436,7.7,8.2,94,27,145,2020,Texas,Big 12,SR,QB,10,194,322,60.2,2566,8,8.9,26,5,150.7,554,1903,3.4,33,9,115,12.8,0,563,2018,3.6,33
18,2020,1,1,CIN,Joe Burrow,https://www.pro-football-reference.com/players/B/BurrJo01.htm,QB,23,LSU,http://www.sports-reference.com/cfb/players/joe-burrow-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/BurrJo01_2022.jpg,12/10/1996,"Athens,OH",6'4,221,6.33,Ames,"IA, ",IA,SEC,26.9,Career,Overall,SEC,SR,QB,38,650,945,68.8,8852,9.4,10.5,78,11,172.4,2019,LSU,SEC,SR,QB,15,402,527,76.3,5671,10.8,12.5,60,6,202,258,820,3.2,13,1,16,16,0,259,836,3.2,13
19,2020,1,5,MIA,Tua Tagovailoa,https://www.pro-football-reference.com/players/T/TagoTu00.htm,QB,22,Alabama,http://www.sports-reference.com/cfb/players/tua-tagovailoa-1.html,https://www.pro-football-reference.com/req/20180910/images/headshots/TagoTu00_2022.jpg,3/2/1998,"Saint Louis,HI",6'1,217,6.08,Ewa Beach,"HI, ",HI,SEC,28.7,Career,Alabama,SEC,JR,QB,32,474,684,69.3,7442,10.9,12.7,87,11,199.4,2019,Alabama,SEC,JR,QB,9,180,252,71.4,2840,11.3,13.4,33,3,206.9,107,340,3.2,9,0,0,,0,107,340,3.2,9
